Epolye id,First,name,TRIM ,age,country,language,primary_skill,years_of_experience
FL250045,Michelle,Ramirez,Michelle,51,Netherlands,Dutch,Machine Learning,23
FL250046,James,Brown,James,41,South Africa,Afrikaans,Web Development,9
FL250047,Mrs.samantha,Simmons,Mrs.samantha,47,Egypt,Arabic,DevOps,15
FL250048,Chase,Mason,Chase,25,China,Mandarin,Graphic Design,4
FL250049,Dominique,Ward,Dominique,25,Mexico,Spanish,Mobile Apps,7
FL250050,Lance,Griffin,Lance,29,Netherlands,Dutch,UI/UX Design,1
FL250051,Julie,Burgess,Julie,23,Argentina,Spanish,Cybersecurity,0
FL250052,Don,Scott,Don,31,France,French,Data Analysis,8
FL250053,Kyle,Atkinson,Kyle,51,Germany,Germany,Machine Learning,33
FL250054,Jimmy,Hogan,Jimmy,,Spain,Spanish,UI/UX Design,1
FL250055,Jennifer,Mcintyre,Jennifer,29,Turkey,Turkish,Cybersecurity,11
FL250056,Larry,Simpson,Larry,50,UK,English,AI,15
FL250057,Laura,Price,Laura,26,UK,English,DevOps,8
FL250058,Mark,Wright,Mark,38,Canada,English,AI,17
FL250059,Samantha,Mcdaniel,Samantha,23,India,Hindi,Mobile Apps,0
FL250060,Barbara,Foster,Barbara,51,South Africa,Afrikaans,DevOps,28
FL250061,Courtney,Tran,Courtney,51,Indonesia,Indonesian,AI,33
FL250062,Eddie,Todd,Eddie,47,Germany,Germany,AI,18
FL250063,Christine,Johnson,Christine,34,Russia,Russian,UI/UX Design,16
FL250064,Leah,Phelps,Leah,58,Indonesia,Indonesian,Data Analysis,35
FL250065,Rebekah,Williams,Rebekah,50,Russia,Russian,AI,14
FL250066,Crystal,Wilson,Crystal,34,Spain,Spanish,Web Development,12
FL250067,Ashley,Cordova,Ashley,45,Brazil,Portuguese,AI,11
FL250068,Vicki,Kelly,Vicki,55,Brazil,Portuguese,Web Development,0
FL250069,Corey,Warren,Corey,,Argentina,Spanish,UI/UX Design,6
FL250070,Gina,Thompson,Gina,60,China,Mandarin,UI/UX Design,38
FL250071,Yvonne,Berg,Yvonne,33,South Africa,Afrikaans,Mobile Apps,11
FL250072,Thomas,Miller,Thomas,60,Italy,Italian,DevOps,13
FL250073,Nicholas,Burton,Nicholas,40,US,English,Web Development,9
FL250074,Jorge,Riley,Jorge,59,Australia,English,Blockchain Development,4
FL250075,Melvin,Harris,Melvin,36,Italy,Italian,Machine Learning,14
FL250076,Jeremy,Meyer,Jeremy,32,India,Hindi,Data Analysis,0
FL250077,Timothy,Lee,Timothy,59,Australia,English,AI,9
FL250078,Diana,Bautista,Diana,54,Spain,Spanish,DevOps,32
FL250079,Leslie,Rodriguez,Leslie,37,Canada,English,Graphic Design,9
FL250080,Noah,Wiggins,Noah,54,India,Hindi,Machine Learning,21
FL250081,Bridget,Williams,Bridget,33,Argentina,Spanish,UI/UX Design,12
FL250082,Veronica,Baker,Veronica,25,Egypt,Arabic,Web Development,7
FL250083,Andrew,Avila,Andrew,,China,Mandarin,DevOps,3
FL250084,Michael,Roberson,Michael,35,South Korea,Korean,Web Development,5
FL250085,Austin,Jenkins,Austin,59,South Korea,Korean,AI,30
FL250086,Brenda,Green,Brenda,21,China,Mandarin,DevOps,2
FL250087,Samuel,Pierce,Samuel,25,US,English,Mobile Apps,2
FL250088,Briana,Smith,Briana,38,Mexico,Spanish,Web Development,19
FL250089,Ronald,Barrett,Ronald,57,Russia,Russian,AI,16
FL250090,Matthew,Smith,Matthew,32,India,Hindi,Mobile Apps,10
FL250091,Logan,Huang,Logan,21,Italy,Italian,DevOps,2
FL250092,Miranda,Hutchinson,Miranda,57,Canada,English,Cybersecurity,18
FL250093,Paul,Richardson,Paul,53,China,Mandarin,UI/UX Design,21
FL250094,Jose,Jones,Jose,35,Russia,Russian,Blockchain Development,3
FL250095,Denise,Smith,Denise,54,China,Mandarin,Machine Learning,17
FL250096,Shelby,Mcmahon,Shelby,36,Italy,Italian,UI/UX Design,0
FL250097,Bethany,Wright,Bethany,49,Spain,Spanish,Cybersecurity,25
FL250098,David,Ortiz,David,37,US,English,Blockchain Development,17
FL250099,Andrew,Lynch,Andrew,,US,English,UI/UX Design,5
FL250100,Kristopher,Meyers,Kristopher,32,Egypt,Arabic,UI/UX Design,10
FL250101,Thomas,Roth,Thomas,35,India,Hindi,Mobile Apps,0
FL250102,Vicki,Brown,Vicki,51,Russia,Russian,Graphic Design,2
FL250103,Stacy,Sutton,Stacy,50,Russia,Russian,DevOps,30
FL250104,Kimberly,Holland,Kimberly,21,Turkey,Turkish,Blockchain Development,2
FL250105,Travis,Richardson,Travis,25,US,English,Graphic Design,3
FL250106,Jasmin,Ho,Jasmin,57,France,French,DevOps,21
FL250107,Mark,Paul,Mark,58,Russia,Russian,Blockchain Development,3
FL250108,Jennifer,Lewis,Jennifer,45,Indonesia,Indonesian,Mobile Apps,19
FL250109,Elizabeth,Lester,Elizabeth,23,US,English,Web Development,0
FL250110,Kimberly,Griffin,Kimberly,46,US,English,AI,9
FL250111,Tyler,Warner,Tyler,27,Argentina,Spanish,UI/UX Design,5
FL250112,Jane,Cox,Jane,32,US,English,Machine Learning,6
FL250113,Leah,Williams,Leah,48,Argentina,Spanish,Machine Learning,6
FL250114,Kevin,Wong,Kevin,30,Turkey,Turkish,Mobile Apps,3
FL250115,Robert,Andrews,Robert,59,Turkey,Turkish,AI,13
FL250116,Jessica,Torres,Jessica,32,Mexico,Spanish,AI,5
FL250117,Teresa,Kim,Teresa,57,Egypt,Arabic,UI/UX Design,4
FL250118,Jon,Morgan,Jon,27,Australia,English,Machine Learning,7
FL250119,Gloria,Chaney,Gloria,33,Indonesia,Indonesian,Machine Learning,13
FL250120,Jesse,Campbell,Jesse,29,South Korea,Korean,Data Analysis,4
FL250121,Allison,Tucker md,Allison,36,Indonesia,Indonesian,UI/UX Design,13
FL250122,Candice,Petersen,Candice,47,Italy,Italian,DevOps,5
FL250123,Christopher,Nichols,Christopher,48,Canada,English,Machine Learning,15
FL250124,Debra,Garcia,Debra,27,China,Mandarin,UI/UX Design,8
FL250125,Andrew,Fuentes,Andrew,34,Australia,English,Web Development,10
FL250126,Jason,Carter,Jason,49,South Korea,Korean,Data Analysis,19
FL250127,Austin,Romero,Austin,30,Brazil,Portuguese,Mobile Apps,10
FL250128,Clayton,Burns,Clayton,31,Egypt,Arabic,Graphic Design,8
FL250129,Jonathan,Clark,Jonathan,58,China,Mandarin,Machine Learning,9
FL250130,Alexander,Griffin,Alexander,47,France,French,Machine Learning,13
FL250131,Shelly,Whitehead,Shelly,45,UK,English,Cybersecurity,14
FL250132,Kaitlyn,Davis,Kaitlyn,57,France,French,Machine Learning,0
FL250133,Christopher,Jones,Christopher,50,India,Hindi,Web Development,22
FL250134,Cindy,Jacobs,Cindy,,Brazil,Portuguese,Machine Learning,4
FL250135,Penny,Day,Penny,45,Indonesia,Indonesian,Blockchain Development,22
FL250136,Thomas,Ingram,Thomas,60,South Africa,Afrikaans,Cybersecurity,39
FL250137,Donna,Hansen,Donna,43,UK,English,Cybersecurity,5
FL250138,Donna,Bailey,Donna,39,France,French,Cybersecurity,5
FL250139,Joshua,Armstrong,Joshua,26,Mexico,Spanish,UI/UX Design,5
FL250140,Jonathan,Garza,Jonathan,31,Germany,Germany,Cybersecurity,11
FL250141,Charles,Jones,Charles,52,France,French,UI/UX Design,15
FL250142,Lindsey,Miles,Lindsey,34,India,Hindi,Data Analysis,5
FL250143,Eduardo,Reed,Eduardo,45,UK,English,Web Development,7
FL250144,Lee,Fowler,Lee,46,UK,English,Cybersecurity,9
FL250145,Steven,jr,Steven,56,France,French,UI/UX Design,21
FL250146,Ashley,Chen,Ashley,59,Germany,Germany,AI,7
FL250147,Erica,Davis,Erica,54,Egypt,Arabic,Blockchain Development,4
FL250148,Wayne,Gonzales,Wayne,36,Germany,Germany,UI/UX Design,7
FL250149,Gary,Ballard,Gary,25,Mexico,Spanish,Data Analysis,0
FL250150,Maria,Mcguire,Maria,37,Russia,Russian,Data Analysis,15
FL250151,Matthew,Richards,Matthew,,Turkey,Turkish,Data Analysis,10
FL250152,Patrick,Malone,Patrick,29,Spain,Spanish,Data Analysis,11
FL250153,Cindy,Martin,Cindy,55,Argentina,Spanish,Mobile Apps,12
FL250154,Anne,Edwards,Anne,38,Japan,Japanese,DevOps,20
FL250155,Mitchell,Martin,Mitchell,47,South Korea,Korean,DevOps,29
FL250156,Mitchell,Patrick,Mitchell,60,Brazil,Portuguese,Web Development,15
FL250157,Rebecca,Lyons,Rebecca,43,Italy,Italian,Data Analysis,9
FL250158,Christian,Lopez,Christian,56,South Africa,Afrikaans,Data Analysis,0
FL250159,Nathan,Blair,Nathan,42,Russia,Russian,DevOps,2
FL250160,Patricia,Lopez,Patricia,20,Spain,Spanish,Graphic Design,0
FL250161,Michelle,Wu,Michelle,47,Indonesia,Indonesian,UI/UX Design,12
FL250162,Donald,Mitchell,Donald,,Argentina,Spanish,Data Analysis,12
FL250163,Sean,Gordon,Sean,56,Indonesia,Indonesian,DevOps,15
FL250164,Gregory,Clarke,Gregory,59,UK,English,DevOps,29
FL250165,Steven,Whitney,Steven,56,Japan,Japanese,Cybersecurity,15
FL250166,Robin,Acosta,Robin,31,South Africa,Afrikaans,Web Development,0
FL250167,John,Smith,John,60,South Korea,Korean,Mobile Apps,33
FL250168,Susan,Baker,Susan,31,Canada,English,Web Development,10
FL250169,Anthony,Larsen,Anthony,60,Argentina,Spanish,Cybersecurity,20
FL250170,Nicholas,Carpenter,Nicholas,46,France,French,DevOps,23
FL250171,Debra,Salazar,Debra,40,Netherlands,Dutch,Blockchain Development,0
FL250172,William,Smith,William,34,Japan,Japanese,UI/UX Design,0
FL250173,Caroline,Gross,Caroline,42,Netherlands,Dutch,Graphic Design,7
FL250174,Jeremy,Sawyer,Jeremy,31,UK,English,Data Analysis,4
FL250175,Eduardo,Burns,Eduardo,29,Brazil,Portuguese,UI/UX Design,9
FL250176,Amanda,Jones,Amanda,57,Australia,English,Graphic Design,17
FL250177,Frederick,Ware,Frederick,47,India,Hindi,DevOps,8
FL250178,Michael,Black,Michael,47,South Africa,Afrikaans,AI,14
FL250179,Patricia,Sanders,Patricia,45,France,French,Graphic Design,21
FL250180,Marc,Joseph,Marc,24,Turkey,Turkish,Machine Learning,1
FL250181,Vanessa,White,Vanessa,31,Argentina,Spanish,Mobile Apps,12
FL250182,Jennifer,Garcia,Jennifer,20,Mexico,Spanish,Graphic Design,2
FL250183,Michael,Zavala,Michael,38,Japan,Japanese,Web Development,3
FL250184,Kimberly,Williams,Kimberly,33,Germany,Germany,UI/UX Design,11
FL250185,Elizabeth,Jenkins,Elizabeth,31,Australia,English,Web Development,4
FL250186,Brandon,Ford,Brandon,41,Spain,Spanish,Machine Learning,21
FL250187,Justin,House,Justin,54,Turkey,Turkish,Web Development,0
FL250188,Henry,Mullen,Henry,50,Mexico,Spanish,Data Analysis,6
FL250189,Jesse,Cochran,Jesse,48,Brazil,Portuguese,Machine Learning,18
FL250190,Melissa,Rich,Melissa,49,Mexico,Spanish,Graphic Design,0
FL250191,Patrick,Dunlap,Patrick,21,South Korea,Korean,Graphic Design,1
FL250192,Troy,Carson,Troy,58,Australia,English,Graphic Design,20
FL250193,Matthew,Smith,Matthew,41,Italy,Italian,DevOps,0
FL250194,Jennifer,Cherry,Jennifer,58,Russia,Russian,Blockchain Development,25
FL250195,Brandi,Tucker,Brandi,50,South Africa,Afrikaans,Graphic Design,20
FL250196,Zachary,Burke,Zachary,52,Indonesia,Indonesian,Web Development,33
FL250197,Thomas,Jones,Thomas,34,Netherlands,Dutch,Data Analysis,6
FL250198,Brian,Dunn,Brian,32,France,French,Machine Learning,11
FL250199,Shirley,Strickland,Shirley,50,India,Hindi,Graphic Design,28
FL250200,Nicole,Meyers,Nicole,39,Argentina,Spanish,Data Analysis,11
FL250201,Jill,Stephens,Jill,25,Spain,Spanish,AI,2
FL250202,Heidi,Miranda,Heidi,55,China,Mandarin,Machine Learning,7
FL250203,Jesus,Martinez,Jesus,42,Italy,Italian,DevOps,10
FL250204,Adam,Payne,Adam,43,Russia,Russian,Mobile Apps,6
FL250205,Walter,Williams,Walter,54,Italy,Italian,DevOps,29
FL250206,Shannon,Farmer,Shannon,21,Egypt,Arabic,Graphic Design,0
FL250207,Peter,Reyes,Peter,46,Canada,English,UI/UX Design,5
FL250208,Kristen,Knight,Kristen,30,Spain,Spanish,Blockchain Development,11
FL250209,William,Moore jr,William,36,China,Mandarin,Machine Learning,11
FL250210,Jennifer,Rowe,Jennifer,47,Germany,Germany,Data Analysis,15
FL250211,Mikayla,Henry,Mikayla,43,Canada,English,Mobile Apps,1
FL250212,Jacob,Kerr,Jacob,57,South Korea,Korean,Cybersecurity,8
FL250213,Ryan,Johnson,Ryan,52,Italy,Italian,Machine Learning,30
FL250214,Michael,Ruiz,Michael,,Germany,Germany,Blockchain Development,8
FL250215,Monica,Roberts,Monica,22,Indonesia,Indonesian,Machine Learning,0
FL250216,Danny,Brown,Danny,,India,Hindi,Machine Learning,12
FL250217,Karen,Larsen,Karen,58,Spain,Spanish,Mobile Apps,4
FL250218,Robert,Evans,Robert,39,South Korea,Korean,Web Development,14
FL250219,Sean,Poole,Sean,32,Indonesia,Indonesian,Graphic Design,14
FL250220,Richard,Quinn,Richard,37,Canada,English,UI/UX Design,2
FL250221,Jennifer,Gonzalez,Jennifer,21,China,Mandarin,Cybersecurity,2
FL250222,James,Skinner,James,41,South Korea,Korean,Machine Learning,4
FL250223,Michelle,Hill,Michelle,21,Canada,English,AI,0
FL250224,Jacqueline,Williams,Jacqueline,58,China,Mandarin,Machine Learning,9
FL250225,Darrell,Johnson,Darrell,60,Canada,English,Machine Learning,3
FL250226,Ryan,Crawford,Ryan,27,South Africa,Afrikaans,Web Development,2
FL250227,Chelsea,Barber,Chelsea,29,Germany,Germany,Machine Learning,10
FL250228,Elaine,Martinez,Elaine,54,Canada,English,Graphic Design,33
FL250229,Joseph,Kent,Joseph,52,Mexico,Spanish,Machine Learning,12
FL250230,Megan,Welch,Megan,55,Indonesia,Indonesian,Blockchain Development,18
FL250231,Stephen,Ramirez,Stephen,37,Brazil,Portuguese,Blockchain Development,4
FL250232,Chloe,Gray,Chloe,34,Egypt,Arabic,Data Analysis,11
FL250233,Michael,Williams jr,Michael,20,France,French,Data Analysis,1
FL250234,Matthew,Martin,Matthew,22,Mexico,Spanish,UI/UX Design,2
FL250235,Julia,Murphy,Julia,23,South Korea,Korean,Graphic Design,2
FL250236,Anna,Evans,Anna,53,South Korea,Korean,Blockchain Development,34
FL250237,Brenda,Fleming,Brenda,56,South Korea,Korean,Graphic Design,27
FL250238,Daniel,Harrington,Daniel,27,Canada,English,AI,4
FL250239,Daniel,Barnett,Daniel,34,Italy,Italian,Mobile Apps,11
FL250240,Mark,Cummings,Mark,29,US,English,Web Development,4
FL250241,Christopher,Guerra,Christopher,34,India,Hindi,AI,11
FL250242,Sarah,Ho,Sarah,32,Mexico,Spanish,AI,1
FL250243,Veronica,Thomas,Veronica,21,South Africa,Afrikaans,Machine Learning,2
FL250244,Mitchell,Watson,Mitchell,20,Mexico,Spanish,Graphic Design,2
FL250245,Monica,Murphy,Monica,35,US,English,Mobile Apps,10
FL250246,Kristen,Williams,Kristen,47,US,English,UI/UX Design,18
FL250247,Nicole,Wright,Nicole,41,Turkey,Turkish,Blockchain Development,4
FL250248,Andrew,Ruiz,Andrew,58,Argentina,Spanish,Web Development,23
FL250249,Zachary,Jackson,Zachary,34,China,Mandarin,Data Analysis,6
FL250250,Stephanie,Carter,Stephanie,50,India,Hindi,Mobile Apps,5
FL250251,Amy,Olson,Amy,42,Mexico,Spanish,DevOps,19
FL250252,Fred,Stark,Fred,43,Germany,Germany,UI/UX Design,6
FL250253,Jacob,Gill,Jacob,34,Germany,Germany,Data Analysis,8
FL250254,Anthony,Nichols,Anthony,24,Spain,Spanish,Mobile Apps,3
FL250255,William,Knapp,William,48,South Africa,Afrikaans,UI/UX Design,8
FL250256,Elizabeth,Walker,Elizabeth,39,South Korea,Korean,Data Analysis,12
FL250257,Brenda,Reeves,Brenda,57,Australia,English,Blockchain Development,30
FL250258,Carrie,Little,Carrie,44,Canada,English,Web Development,21
FL250259,Steven,Jackson,Steven,37,Brazil,Portuguese,UI/UX Design,17
FL250260,Mark,Perry,Mark,50,Turkey,Turkish,Data Analysis,9
FL250261,Cameron,Spencer,Cameron,50,Spain,Spanish,UI/UX Design,2
FL250262,Jennifer,Holmes,Jennifer,28,France,French,Graphic Design,1
FL250263,Jacob,Joseph,Jacob,48,Italy,Italian,Web Development,23
FL250264,Jeffery,Tucker,Jeffery,42,Germany,Germany,DevOps,8
FL250265,Jacqueline,Drake,Jacqueline,37,Canada,English,Data Analysis,6
FL250266,Brian,Bautista,Brian,21,India,Hindi,Blockchain Development,1
FL250267,Dakota,Wells,Dakota,50,South Korea,Korean,Web Development,19
FL250268,Julie,White,Julie,22,Argentina,Spanish,AI,2
FL250269,Barbara,Keith,Barbara,39,Japan,Japanese,Web Development,21
FL250270,Heather,Camacho,Heather,25,Japan,Japanese,Machine Learning,3
FL250271,Melanie,Harris,Melanie,47,South Africa,Afrikaans,Mobile Apps,14
FL250272,Jacqueline,Peterson,Jacqueline,35,South Africa,Afrikaans,UI/UX Design,10
FL250273,Nancy,Long,Nancy,,UK,English,Cybersecurity,5
FL250274,Mr.juan,Mitchell,Mr.juan,35,Netherlands,Dutch,Blockchain Development,6
FL250275,William,Gaines,William,59,France,French,Web Development,21
FL250276,Haley,Yates,Haley,26,China,Mandarin,UI/UX Design,4
FL250277,Richard,Mcguire,Richard,44,Russia,Russian,Machine Learning,18
FL250278,Stephanie,Fisher,Stephanie,31,South Africa,Afrikaans,UI/UX Design,12
FL250279,Anthony,Goodwin dds,Anthony,60,Turkey,Turkish,Data Analysis,6
FL250280,Meagan,Walters,Meagan,23,UK,English,Blockchain Development,4
FL250281,David,Powell,David,42,Indonesia,Indonesian,UI/UX Design,13
FL250282,Kelly,Jones,Kelly,48,India,Hindi,Mobile Apps,6
FL250283,Dr.michael,Aguilar,Dr.michael,42,Netherlands,Dutch,Graphic Design,10
FL250284,Alex,Novak,Alex,52,South Korea,Korean,Cybersecurity,20
FL250285,Ann,Contreras,Ann,55,Japan,Japanese,Web Development,20
FL250286,Mary,Reed,Mary,58,South Africa,Afrikaans,Cybersecurity,11
FL250287,Lauren,Ross,Lauren,46,South Korea,Korean,Machine Learning,12
FL250288,Candice,Wise,Candice,45,Spain,Spanish,Machine Learning,1
FL250289,Joyce,Humphrey,Joyce,56,India,Hindi,Machine Learning,2
FL250290,James,Carr,James,44,UK,English,Blockchain Development,13
FL250291,Joseph,Mendoza,Joseph,46,Indonesia,Indonesian,UI/UX Design,0
FL250292,Cathy,Baldwin,Cathy,27,Japan,Japanese,Web Development,7
FL250293,Christine,Hart,Christine,49,India,Hindi,Blockchain Development,13
FL250294,Mike,Stanley,Mike,53,Mexico,Spanish,Web Development,21
FL250295,Jeffrey,Edwards,Jeffrey,56,Australia,English,Web Development,19
FL250296,Amy,Lee,Amy,56,UK,English,DevOps,34
FL250297,Mark,Thompson,Mark,38,South Africa,Afrikaans,Data Analysis,3
FL250298,Alex,Wilson,Alex,20,South Korea,Korean,Mobile Apps,0
FL250299,Nancy,Mendez,Nancy,38,Canada,English,Machine Learning,20
FL250300,Beth,Crane,Beth,,Netherlands,Dutch,Mobile Apps,6
FL250301,Miguel,Rogers,Miguel,46,India,Hindi,Machine Learning,13
FL250302,Thomas,Robles,Thomas,36,South Africa,Afrikaans,Data Analysis,9
FL250303,Joel,Brown III,Joel,33,Russia,Russian,Web Development,2
FL250304,Olivia,Schultz,Olivia,37,Canada,English,Graphic Design,0
FL250305,Clayton,Pena,Clayton,20,Egypt,Arabic,Data Analysis,0
FL250306,Ashley,Salazar,Ashley,48,China,Mandarin,Data Analysis,2
FL250307,Robert,Lucas,Robert,27,France,French,Cybersecurity,2
FL250308,David,Cox,David,34,South Korea,Korean,Mobile Apps,1
FL250309,Christian,Campbell,Christian,55,Brazil,Portuguese,Machine Learning,14
FL250310,Mrs.angela,ward,Mrs.angela,44,South Africa,Afrikaans,Machine Learning,14
FL250311,Lucas,Chen,Lucas,31,Netherlands,Dutch,UI/UX Design,2
FL250312,Ruben,Nelson,Ruben,34,Australia,English,DevOps,1
FL250313,Brenda,Briggs,Brenda,47,Brazil,Portuguese,DevOps,13
FL250314,Ronald,Smith,Ronald,50,US,English,Graphic Design,23
FL250315,Dakota,Giles,Dakota,39,Germany,Germany,Cybersecurity,0
FL250316,Angela,Castillo,Angela,26,Argentina,Spanish,Blockchain Development,3
FL250317,Allen,Lee,Allen,,Netherlands,Dutch,DevOps,0
FL250318,Michael,Rogers,Michael,32,Germany,Germany,Graphic Design,0
FL250319,Danielle,Costa,Danielle,55,Russia,Russian,Data Analysis,17
FL250320,William,Nunez,William,32,Argentina,Spanish,Machine Learning,9
FL250321,Christopher,Riggs,Christopher,30,South Korea,Korean,Blockchain Development,4
FL250322,Kathryn,Myers,Kathryn,37,Canada,English,Cybersecurity,0
FL250323,Robert,Walls,Robert,52,Brazil,Portuguese,Graphic Design,33
FL250324,Justin,Johnson,Justin,48,India,Hindi,Cybersecurity,18
FL250325,Paula,Stevens,Paula,28,Japan,Japanese,Mobile Apps,9
FL250326,Jennifer,Allen,Jennifer,58,Spain,Spanish,Data Analysis,40
FL250327,Mark,Hudson,Mark,30,Argentina,Spanish,Web Development,1
FL250328,Jessica,Smith,Jessica,47,China,Mandarin,Mobile Apps,5
FL250329,Mike,Dean,Mike,44,Argentina,Spanish,AI,4
FL250330,Jose,Wilson,Jose,56,Italy,Italian,Machine Learning,13
FL250331,Tammy,Hill,Tammy,53,US,English,Mobile Apps,33
FL250332,Nathaniel,Flores,Nathaniel,59,UK,English,Mobile Apps,22
FL250333,Edwin,Carter,Edwin,60,US,English,DevOps,34
FL250334,Patricia,Miller,Patricia,33,Germany,Germany,Mobile Apps,8
FL250335,Rebecca,Schneider,Rebecca,21,Argentina,Spanish,Web Development,1
FL250336,John,Greene,John,54,UK,English,UI/UX Design,20
FL250337,Brittany,Mcdowell,Brittany,33,US,English,Graphic Design,11
FL250338,Lori,Miller,Lori,57,Turkey,Turkish,Data Analysis,2
FL250339,Joseph,Robinson,Joseph,36,South Korea,Korean,Graphic Design,6
FL250340,Aaron,Pruitt,Aaron,50,Germany,Germany,Blockchain Development,20
FL250341,Victoria,Miller,Victoria,37,Canada,English,DevOps,0
FL250342,Clarence,Vega,Clarence,53,Italy,Italian,AI,4
FL250343,Deborah,Day,Deborah,22,Italy,Italian,Blockchain Development,3
FL250344,Nicole,Rocha,Nicole,55,Netherlands,Dutch,Mobile Apps,33
FL250345,Elijah,Green,Elijah,22,Australia,English,Cybersecurity,1
FL250346,Emily,Johnson,Emily,45,Turkey,Turkish,Web Development,23
FL250347,Richard,Velasquez jr,Richard,36,France,French,Data Analysis,13
FL250348,Kurt,Wilson,Kurt,23,Australia,English,DevOps,1
FL250349,Jeremiah,Rodriguez,Jeremiah,55,Italy,Italian,DevOps,15
FL250350,Lauren,Lang,Lauren,50,Brazil,Portuguese,Mobile Apps,18
FL250351,Matthew,Phillips,Matthew,48,US,English,Machine Learning,21
FL250352,Michael,Andersen,Michael,23,Netherlands,Dutch,DevOps,1
FL250353,Amanda,Mayo,Amanda,49,Canada,English,Web Development,25
FL250354,Jessica,Vance,Jessica,47,Italy,Italian,Cybersecurity,12
FL250355,Alexa,Gallegos,Alexa,56,Japan,Japanese,Graphic Design,32
FL250356,Charles,Pratt,Charles,58,Argentina,Spanish,UI/UX Design,0
FL250357,Brian,Baker,Brian,32,South Korea,Korean,UI/UX Design,10
FL250358,Christina,Norman,Christina,52,India,Hindi,UI/UX Design,0
FL250359,Laura,Kelly,Laura,22,China,Mandarin,Data Analysis,1
FL250360,John,Webb,John,20,India,Hindi,Cybersecurity,2
FL250361,Christopher,Burton,Christopher,56,Netherlands,Dutch,Data Analysis,9
FL250362,Bradley,Aguilar,Bradley,41,Japan,Japanese,Data Analysis,22
FL250363,Arthur,Vasquez,Arthur,25,Argentina,Spanish,Blockchain Development,5
FL250364,Angela,Castro,Angela,44,Canada,English,Cybersecurity,6
FL250365,Summer,Yoder,Summer,46,Australia,English,Web Development,26
FL250366,Jackie,Allen,Jackie,40,South Korea,Korean,Blockchain Development,0
